Week,buy_lawn_mower
7/13/14,44
7/20/14,49
7/27/14,43
8/3/14,27
8/10/14,24
8/17/14,40
8/24/14,36
8/31/14,39
9/7/14,26
9/14/14,28
9/21/14,29
9/28/14,34
10/5/14,24
10/12/14,25
10/19/14,15
10/26/14,10
11/2/14,16
11/9/14,14
11/16/14,6
11/23/14,15
11/30/14,9
12/7/14,7
12/14/14,5
12/21/14,18
12/28/14,10
1/4/15,12
1/11/15,9
1/18/15,11
1/25/15,11
2/1/15,9
2/8/15,16
2/15/15,19
2/22/15,13
3/1/15,19
3/8/15,26
3/15/15,27
3/22/15,30
3/29/15,43
4/5/15,61
4/12/15,72
4/19/15,72
4/26/15,63
5/3/15,74
5/10/15,68
5/17/15,50
5/24/15,70
5/31/15,53
6/7/15,60
6/14/15,35
6/21/15,48
6/28/15,64
7/5/15,63
7/12/15,64
7/19/15,49
7/26/15,37
8/2/15,51
8/9/15,48
8/16/15,37
8/23/15,42
8/30/15,35
9/6/15,33
9/13/15,37
9/20/15,37
9/27/15,27
10/4/15,19
10/11/15,18
10/18/15,18
10/25/15,12
11/1/15,13
11/8/15,13
11/15/15,13
11/22/15,17
11/29/15,13
12/6/15,10
12/13/15,7
12/20/15,11
12/27/15,18
1/3/16,4
1/10/16,9
1/17/16,6
1/24/16,10
1/31/16,11
2/7/16,14
2/14/16,17
2/21/16,15
2/28/16,19
3/6/16,32
3/13/16,48
3/20/16,50
3/27/16,47
4/3/16,52
4/10/16,54
4/17/16,65
4/24/16,51
5/1/16,71
5/8/16,55
5/15/16,64
5/22/16,71
5/29/16,73
6/5/16,53
6/12/16,55
6/19/16,49
6/26/16,32
7/3/16,45
7/10/16,53
7/17/16,46
7/24/16,39
7/31/16,34
8/7/16,42
8/14/16,38
8/21/16,40
8/28/16,48
9/4/16,37
9/11/16,35
9/18/16,25
9/25/16,28
10/2/16,21
10/9/16,19
10/16/16,18
10/23/16,19
10/30/16,18
11/6/16,9
11/13/16,18
11/20/16,11
11/27/16,13
12/4/16,13
12/11/16,10
12/18/16,13
12/25/16,7
1/1/17,12
1/8/17,6
1/15/17,15
1/22/17,13
1/29/17,16
2/5/17,18
2/12/17,11
2/19/17,29
2/26/17,27
3/5/17,34
3/12/17,29
3/19/17,39
3/26/17,38
4/2/17,51
4/9/17,79
4/16/17,87
4/23/17,74
4/30/17,57
5/7/17,70
5/14/17,66
5/21/17,51
5/28/17,51
6/4/17,40
6/11/17,54
6/18/17,53
6/25/17,38
7/2/17,34
7/9/17,48
7/16/17,49
7/23/17,46
7/30/17,46
8/6/17,40
8/13/17,37
8/20/17,45
8/27/17,35
9/3/17,37
9/10/17,33
9/17/17,32
9/24/17,29
10/1/17,22
10/8/17,31
10/15/17,30
10/22/17,13
10/29/17,22
11/5/17,13
11/12/17,22
11/19/17,22
11/26/17,17
12/3/17,16
12/10/17,12
12/17/17,12
12/24/17,13
12/31/17,15
1/7/18,16
1/14/18,5
1/21/18,9
1/28/18,12
2/4/18,17
2/11/18,16
2/18/18,24
2/25/18,27
3/4/18,30
3/11/18,27
3/18/18,37
3/25/18,40
4/1/18,36
4/8/18,44
4/15/18,54
4/22/18,63
4/29/18,84
5/6/18,88
5/13/18,79
5/20/18,67
5/27/18,78
6/3/18,66
6/10/18,46
6/17/18,66
6/24/18,53
7/1/18,55
7/8/18,37
7/15/18,43
7/22/18,34
7/29/18,48
8/5/18,43
8/12/18,40
8/19/18,57
8/26/18,60
9/2/18,41
9/9/18,32
9/16/18,46
9/23/18,37
9/30/18,43
10/7/18,27
10/14/18,25
10/21/18,28
10/28/18,19
11/4/18,16
11/11/18,11
11/18/18,15
11/25/18,10
12/2/18,10
12/9/18,7
12/16/18,7
12/23/18,8
12/30/18,10
1/6/19,13
1/13/19,9
1/20/19,18
1/27/19,7
2/3/19,11
2/10/19,19
2/17/19,21
2/24/19,27
3/3/19,28
3/10/19,36
3/17/19,35
3/24/19,49
3/31/19,52
4/7/19,62
4/14/19,72
4/21/19,100
4/28/19,77
5/5/19,89
5/12/19,62
5/19/19,69
5/26/19,76
6/2/19,65
6/9/19,66
6/16/19,53
6/23/19,56
6/30/19,51