Week,buy_pool
7/13/14,56
7/20/14,54
7/27/14,44
8/3/14,43
8/10/14,40
8/17/14,40
8/24/14,36
8/31/14,29
9/7/14,23
9/14/14,27
9/21/14,19
9/28/14,22
10/5/14,29
10/12/14,17
10/19/14,19
10/26/14,20
11/2/14,16
11/9/14,20
11/16/14,25
11/23/14,22
11/30/14,20
12/7/14,22
12/14/14,29
12/21/14,25
12/28/14,29
1/4/15,18
1/11/15,18
1/18/15,26
1/25/15,19
2/1/15,20
2/8/15,23
2/15/15,23
2/22/15,23
3/1/15,20
3/8/15,35
3/15/15,30
3/22/15,27
3/29/15,34
4/5/15,28
4/12/15,34
4/19/15,37
4/26/15,39
5/3/15,44
5/10/15,58
5/17/15,58
5/24/15,68
5/31/15,66
6/7/15,78
6/14/15,69
6/21/15,83
6/28/15,71
7/5/15,54
7/12/15,59
7/19/15,64
7/26/15,58
8/2/15,49
8/9/15,44
8/16/15,44
8/23/15,38
8/30/15,27
9/6/15,36
9/13/15,31
9/20/15,24
9/27/15,23
10/4/15,26
10/11/15,26
10/18/15,23
10/25/15,18
11/1/15,17
11/8/15,21
11/15/15,20
11/22/15,24
11/29/15,23
12/6/15,18
12/13/15,29
12/20/15,27
12/27/15,24
1/3/16,29
1/10/16,21
1/17/16,23
1/24/16,24
1/31/16,28
2/7/16,30
2/14/16,28
2/21/16,30
2/28/16,22
3/6/16,32
3/13/16,28
3/20/16,33
3/27/16,33
4/3/16,39
4/10/16,30
4/17/16,44
4/24/16,43
5/1/16,45
5/8/16,56
5/15/16,52
5/22/16,80
5/29/16,97
6/5/16,81
6/12/16,94
6/19/16,78
6/26/16,82
7/3/16,74
7/10/16,66
7/17/16,64
7/24/16,64
7/31/16,53
8/7/16,46
8/14/16,46
8/21/16,32
8/28/16,30
9/4/16,32
9/11/16,30
9/18/16,24
9/25/16,28
10/2/16,17
10/9/16,22
10/16/16,20
10/23/16,24
10/30/16,27
11/6/16,21
11/13/16,25
11/20/16,31
11/27/16,24
12/4/16,23
12/11/16,27
12/18/16,28
12/25/16,32
1/1/17,23
1/8/17,22
1/15/17,22
1/22/17,22
1/29/17,28
2/5/17,25
2/12/17,24
2/19/17,30
2/26/17,30
3/5/17,31
3/12/17,32
3/19/17,38
3/26/17,32
4/2/17,34
4/9/17,37
4/16/17,40
4/23/17,46
4/30/17,48
5/7/17,50
5/14/17,59
5/21/17,61
5/28/17,71
6/4/17,72
6/11/17,80
6/18/17,89
6/25/17,79
7/2/17,84
7/9/17,65
7/16/17,66
7/23/17,54
7/30/17,53
8/6/17,40
8/13/17,40
8/20/17,32
8/27/17,34
9/3/17,29
9/10/17,32
9/17/17,22
9/24/17,30
10/1/17,26
10/8/17,27
10/15/17,23
10/22/17,27
10/29/17,19
11/5/17,22
11/12/17,24
11/19/17,29
11/26/17,21
12/3/17,26
12/10/17,24
12/17/17,29
12/24/17,23
12/31/17,25
1/7/18,23
1/14/18,24
1/21/18,19
1/28/18,19
2/4/18,25
2/11/18,24
2/18/18,27
2/25/18,22
3/4/18,25
3/11/18,25
3/18/18,31
3/25/18,29
4/1/18,36
4/8/18,34
4/15/18,36
4/22/18,32
4/29/18,49
5/6/18,52
5/13/18,65
5/20/18,71
5/27/18,81
6/3/18,74
6/10/18,79
6/17/18,77
6/24/18,77
7/1/18,100
7/8/18,72
7/15/18,69
7/22/18,51
7/29/18,44
8/5/18,52
8/12/18,42
8/19/18,34
8/26/18,35
9/2/18,37
9/9/18,27
9/16/18,22
9/23/18,24
9/30/18,26
10/7/18,22
10/14/18,28
10/21/18,23
10/28/18,20
11/4/18,17
11/11/18,21
11/18/18,21
11/25/18,18
12/2/18,20
12/9/18,22
12/16/18,23
12/23/18,19
12/30/18,22
1/6/19,19
1/13/19,23
1/20/19,24
1/27/19,20
2/3/19,19
2/10/19,24
2/17/19,22
2/24/19,28
3/3/19,27
3/10/19,26
3/17/19,28
3/24/19,30
3/31/19,31
4/7/19,36
4/14/19,45
4/21/19,35
4/28/19,41
5/5/19,45
5/12/19,44
5/19/19,77
5/26/19,88
6/2/19,69
6/9/19,73
6/16/19,64
6/23/19,74
6/30/19,91